Rank,Strategy,Total Return (%),Max Drawdown (%),Sharpe Ratio
1,Buy & Hold,-44.25470991890206,-67.99199463506005,-0.662448606420897
2,Rule-based RSI,-34.93831464696373,-53.20976381505454,-0.7320228586665074
3,XGBoost RSI,-11.488611602809106,-11.778432194131891,-1.606764002392347
4,Rule-based MACD,-68.02331639043864,-71.36880571865632,-2.480970818079744
5,XGBoost EMA,-22.38725541606331,-23.676552511265204,-2.582638035612939
6,XGBoost SMA,-32.797347680190256,-34.73755156628372,-2.5983394840317184
7,Rule-based EMA,-73.65151329789023,-78.91364789471234,-3.1695290152290814
8,Rule-based SMA,-75.8325750363821,-80.90129070559998,-3.3118257136917326
9,Rule-based Volume,-60.761096440077054,-60.81217234795715,-3.694926690883981
10,XGBoost Volume,-57.41387213654535,-58.5216147820153,-5.1208793538376405
11,XGBoost MACD,-60.4763866621066,-61.26985173361938,-5.464753640269164
