Rank,Strategy,Type,Total Return (%),Max Drawdown (%),Sharpe Ratio
1,Rule-based RSI Long/Short,Long-Short,-24.13986671052786,-47.610300345308985,-0.1509548731594659
2,Buy & Hold,Long-Only,-44.25470991890206,-67.99199463506005,-0.662448606420897
3,Rule-based RSI,Long-Only,-34.93831464696373,-53.20976381505454,-0.7320228586665074
4,XGBoost RSI,Long-Only,-11.488611602809106,-11.778432194131891,-1.606764002392347
5,XGBoost EMA Long/Short,Long-Short,-18.22380055557491,-18.75136890688545,-2.174802496829285
6,XGBoost RSI Long/Short,Long-Short,-19.300656420325744,-19.300656420325744,-2.445978052884543
7,Rule-based MACD Long/Short,Long-Short,-81.52626095075554,-82.44511180914571,-2.4647930717357003
8,Rule-based MACD,Long-Only,-68.02331639043864,-71.36880571865632,-2.480970818079744
9,XGBoost EMA,Long-Only,-22.38725541606331,-23.676552511265204,-2.582638035612939
10,XGBoost SMA,Long-Only,-32.797347680190256,-34.73755156628372,-2.5983394840317184
11,Rule-based EMA Long/Short,Long-Short,-87.45539863472203,-89.6448943481543,-3.088265555742343
12,Rule-based EMA,Long-Only,-73.65151329789023,-78.91364789471234,-3.1695290152290814
13,Rule-based SMA,Long-Only,-75.8325750363821,-80.90129070559998,-3.3118257136917326
14,Rule-based SMA Long/Short,Long-Short,-89.44672504122101,-91.46335271435144,-3.3753595118643336
15,Rule-based Volume,Long-Only,-60.761096440077054,-60.81217234795715,-3.694926690883981
16,Rule-based Volume Long/Short,Long-Short,-80.73478649475945,-81.26831494615428,-4.399886055202328
17,XGBoost Volume,Long-Only,-57.41387213654535,-58.5216147820153,-5.1208793538376405
18,XGBoost SMA Long/Short,Long-Short,-69.15249639479933,-70.62649168834216,-5.35147210385206
19,XGBoost MACD,Long-Only,-60.4763866621066,-61.26985173361938,-5.464753640269164
20,XGBoost MACD Long/Short,Long-Short,-74.66962636336764,-75.11697598676496,-6.57493215508908
21,XGBoost Volume Long/Short,Long-Short,-89.13149590352928,-89.49117177195072,-8.953475891470719
